Scenario,Metric,Mean,Std,Min,P05,Median,P95,Max
Hybrid,TotalLoadKWh,87648.0,0.0,87648.0,87648.0,87648.0,87648.0,87648.0
Hybrid,TotalPvGenerationKWh,21165.912629733743,3.6397991618751755e-12,21165.912629733746,21165.912629733746,21165.912629733746,21165.912629733746,21165.912629733746
Hybrid,TotalBatteryChargeKWh,595.7562451929081,1.1374372380859924e-13,595.7562451929082,595.7562451929082,595.7562451929082,595.7562451929082,595.7562451929082
Hybrid,TotalBatteryDischargeKWh,564.5201711020088,2.2748744761719847e-13,564.5201711020086,564.5201711020086,564.5201711020086,564.5201711020086,564.5201711020086
Hybrid,TotalDieselEnergyKWh,66491.59777296819,21.437693397910458,66383.2494922243,66452.37908459092,66494.27220878651,66513.32344435752,66513.32344435752
Hybrid,PvToLoadKWh,20570.1563845407,3.6397991618751755e-12,20570.156384540696,20570.156384540696,20570.156384540696,20570.156384540696,20570.156384540696
Hybrid,BatteryToLoadKWh,564.5201711020088,2.2748744761719847e-13,564.5201711020086,564.5201711020086,564.5201711020086,564.5201711020086,564.5201711020086
Hybrid,DieselToLoadKWh,66491.59777296819,21.437693397910458,66383.2494922243,66452.37908459092,66494.27220878651,66513.32344435752,66513.32344435752
Hybrid,DieselRunHours,80255.886,25.641421303946597,80129.0,80208.95,80258.5,80282.0,80282.0
Hybrid,FuelUsedL,19947.479331874627,6.431308019361937,19914.97484765149,19935.713725361464,19948.28166262012,19953.997033291413,19953.997033291413
Hybrid,FailureCount,1.095,1.0635347225672072,0.0,0.0,1.0,3.0,6.0
Hybrid,RecoveryCount,1.095,1.0635347225672072,0.0,0.0,1.0,3.0,6.0
Hybrid,TotalRepairHours,28.234,27.779830146402315,0.0,0.0,25.0,81.0,175.0
Hybrid,SystemDownHours,26.114,25.641421303946597,0.0,0.0,23.5,73.04999999999995,153.0
Hybrid,UnservedEnergyKWh,21.72567138931525,21.437693397911442,0.0,0.0,19.051235570996525,60.94435976659174,130.07395213328803
Hybrid,HoursLoadFullyCovered,87621.886,25.641421303946597,87495.0,87574.95,87624.5,87648.0,87648.0
Hybrid,Availability,0.9997020582329318,0.0002925499874948266,0.9982543811610076,0.9991665525739322,0.9997318820737495,1.0,1.0
Hybrid,SocMinKWh,1.0240000000000005,4.443114211273408e-16,1.024,1.024,1.024,1.024,1.024
Hybrid,SocMaxKWh,4.089072164948454,0.0,4.089072164948454,4.089072164948454,4.089072164948454,4.089072164948454,4.089072164948454
Hybrid,SocAverageKWh,1.0456783634541327,4.443114211273408e-16,1.0456783634541322,1.0456783634541322,1.0456783634541322,1.0456783634541322,1.0456783634541322
Hybrid,HoursBatteryCharging,5408.0,0.0,5408.0,5408.0,5408.0,5408.0,5408.0
Hybrid,HoursBatteryDischarging,3757.0,0.0,3757.0,3757.0,3757.0,3757.0,3757.0
Hybrid,CurtailmentKWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColdStandby,TotalLoadKWh,87648.0,0.0,87648.0,87648.0,87648.0,87648.0,87648.0
ColdStandby,TotalDieselEnergyKWh,87648.0,0.0,87648.0,87648.0,87648.0,87648.0,87648.0
ColdStandby,DieselToLoadKWh,87648.0,0.0,87648.0,87648.0,87648.0,87648.0,87648.0
ColdStandby,FuelUsedL,26294.39999995961,7.279598323750351e-12,26294.3999999596,26294.3999999596,26294.3999999596,26294.3999999596,26294.3999999596
ColdStandby,PrimaryRunHours,60380.346,26812.692977375154,38.0,11161.7,66542.0,87648.0,87648.0
ColdStandby,ReserveRunHours,27267.654,26812.692977375158,0.0,0.0,21106.0,76486.29999999999,87610.0
ColdStandby,PrimaryFailureCount,0.822,0.6623856540979393,0.0,0.0,1.0,2.0,4.0
ColdStandby,ReserveFailureCount,0.386,0.5650870050915375,0.0,0.0,0.0,1.0,3.0
ColdStandby,PrimaryRecoveryCount,0.822,0.6623856540979393,0.0,0.0,1.0,2.0,4.0
ColdStandby,ReserveRecoveryCount,0.386,0.5650870050915375,0.0,0.0,0.0,1.0,3.0
ColdStandby,PrimaryRepairHours,21.177,17.575282687955877,0.0,0.0,24.0,53.049999999999955,105.0
ColdStandby,ReserveRepairHours,9.968,14.847269695719055,0.0,0.0,0.0,33.0,88.0
ColdStandby,SystemDownHours,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColdStandby,UnservedEnergyKWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColdStandby,HoursLoadFullyCovered,87648.0,0.0,87648.0,87648.0,87648.0,87648.0,87648.0
ColdStandby,Availability,1.0,0.0,1.0,1.0,1.0,1.0,1.0
